,id,data
89,7KTbEn7PiaY,"{1: 0.06124105194656053, 0: 0.0005742066378287766, 2: 7.65608850428201e-06, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.511916701757072, 7: 0.41838992458752866, 8: 0.004524748306090398}"
90,M1-v-dXIzho,"{3: 0.028755258267304382, 2: 4.025467792901846e-05, 1: 0.0015565142132558732, 0: 0.0006105292819238578, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.9617781833063851, 9: 2.6836451952672036e-05, 10: 0.006990895733675062}"
91,jdt4PPY09rQ,"{0: 0.006479610034478561, 1: 0.0005350136725715935, 2: 0.005528474616573376, 3: 0.0024372845083818814, 4: 0.0016644869813339292, 5: 0.002615622399239081, 6: 0.9641540839377007, 7: 0.0016644869813340346}"
92,aYwDs9LTN50,"{3: 0.07582109859511467, 2: 3.164156435888493e-05, 1: 0.0019222250348056094, 0: 0.0006328312871787464, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.15341412479432945, 10: 0.7668649538033161}"
93,Me96OWd44q0,"{3: 0.021034743202416918, 6: 0.0, 9: 0.8779267371601209, 8: 0.0690898791540786, 7: 0.020090634441087496, 5: 0.0, 4: 0.0, 2: 0.0, 1: 0.0}"
94,HhY95m-WD_E,"{2: 0.011065331561762495, 3: 0.007661903823826503, 1: 0.0005658408184990131, 0: 0.0008215170401914117, 4: 0.0, 5: 0.0, 6: 0.9558476505031791, 7: 0.0046985745002787495, 8: 0.009908501443941821, 9: 0.0027453758230890184, 10: 0.0063164600998394105}"
95,xoVibFYi1Gs,"{0: 0.006344965770579372, 1: 0.0003896031613515559, 2: 0.0060666777981854755, 3: 0.4176545889686646, 4: 0.0011688094840541785, 5: 0.5531808315244611}"
96,i0UyKsAEaNI,"{0: 0.0034652292382417976, 1: 0.0017474232910792353, 2: 0.0020139793863289614, 3: 0.463215258855586, 4: 0.4609051060300915, 5: 0.06133751925127351}"
97,13CZPWmke6A,"{2: 0.032549254412226024, 1: 0.0013400621560743266, 0: 0.0005417272545831589, 3: 0.0, 4: 5.7023921535108435e-06, 5: 0.40524049838907367, 6: 5.702392153507374e-06, 7: 0.5231089442020923, 8: 0.03422575770535741}"
98,MrIFte_rOh0,"{0: 0.004338308457711491, 1: 0.0003582089552238753, 2: 0.002109452736318354, 3: 0.002069651741293701, 4: 0.22778109452736334, 6: 0.0017910447761192438, 7: 0.7478606965174127, 5: 0.0009552238805971003}"
99,xlMTWfkQqbY,"{2: 0.04179168948574185, 1: 4.628094073715755e-05, 0: 0.0005476577987242187, 3: 7.713490122872313e-06, 4: 0.0, 5: 0.19702567820861921, 6: 1.5426980245702993e-05, 7: 0.7497743804139063, 8: 0.005607707319330857, 9: 0.0016352599060496797}"
100,Q4D_4CGWYNk,"{0: 0.0026829493940234363, 1: 0.0022666296604680284, 2: 0.0004625774817283348, 3: 0.0026366916458506985, 4: 0.0015265056897030282, 5: 0.001989083171431252, 6: 0.0028679803867148104, 7: 0.0011101859561477578, 8: 0.0022666296604681355, 9: 0.24035525950596714, 10: 0.7285595337218983}"
101,oxRnBkI7r68,"{0: 0.007600434310532032, 1: 0.0005428881650379747, 2: 0.00040716612377836303, 3: 0.003393051031487626, 4: 0.04587404994571104, 5: 0.7594326818675355, 6: 0.09303745928338786, 7: 0.06568946796959833, 8: 0.0038680781758958505, 9: 0.0019001085776331195}"
102,w_SNIwW6iX8,"{0: 0.011651523249599088, 1: 0.00032068412613550645, 2: 0.0007482629609834599, 3: 0.005237840726884019, 4: 0.0037413148049173506, 5: 0.007803313735969986, 6: 0.004917156600748067, 7: 0.2827365045430252, 8: 0.6513094601817211, 9: 0.004917156600748207}"
103,KceRmxCnXDA,"{5: 0.016569345229273495, 6: 0.002786258410647058, 7: 0.7408779678098231, 8: 0.12724901443519024, 9: 0.08667042119927654, 4: 0.0, 3: 0.0, 2: 0.0036162077244566992, 1: 0.00331979725523901, 0: 0.0001778462815308357}"
104,LLFBM-CON9E,"{0: 0.003240365698414753, 1: 0.00023145469274413535, 2: 0.00234347876403187, 3: 0.0008968869343825724, 4: 0.8268429579909731, 5: 0.15507464413840957, 6: 0.0011572734637194104, 7: 0.0008100914246035318, 8: 0.0011862053003124373}"
105,8A-5gIW0-eI,"{5: 0.0035099816870520772, 3: 0.048269313377495585, 2: 3.3912866541613296e-05, 1: 0.0013904275282044312, 0: 0.0004691279871584311, 4: 5.652144423606842e-06, 6: 0.7476543600642085, 7: 0.18782075919603902, 8: 0.00534127648029669, 10: 0.00410345685152947, 9: 1.1304288847185928e-05}"
106,MGW_Qcqr9eQ,"{1: 0.012632703232756635, 5: 0.0, 9: 0.17144382958741114, 10: 0.7292163488541253, 8: 0.07943318570626223, 7: 0.0, 6: 0.0, 4: 0.0, 3: 0.0, 2: 0.0}"
107,nXwpiPybr0Q,"{0: 0.011641673243883193, 1: 0.01095106550907648, 2: 0.002663772691396958, 3: 0.0026637726913970594, 4: 0.004340962904498612, 5: 0.22346093133385936, 6: 0.7154696132596684}"
