,id,data
108,IXFlwSr5u_k,"{0: 0.5176367762512264, 1: 0.004615431795878182, 2: 0.002922595682041374, 3: 0.0018093719332680173, 4: 0.0015088321884201353, 5: 0.4576300294406287, 6: 0.006203999018645712}"
109,J36xPWBLcG8,"{0: 0.00010169125264556148, 1: 0.0, 2: 0.8616140944076164, 3: 0.0014808788666507626, 4: 0.0028028651510432503, 5: 0.12936080692008967}"
110,98mh3jxcuxI,"{2: 0.423262033834023, 3: 0.0017982906430032918, 4: 0.0013209262177694358, 5: 0.12044950726836258, 6: 0.011342309528324268, 7: 0.4013261576087317, 8: 0.022736932966263668, 9: 0.0031944181058440324, 1: 0.0}"
111,ig9yh8iVZWI,"{0: 0.4227121015044061, 1: 0.0043408103664073555, 2: 0.492588411416793, 3: 0.04508920902152352, 4: 0.019151716690799243, 5: 0.0032732471102167038}"
112,TOiTI5LrCSA,"{0: 0.0006041613454624044, 1: 1.4735642572330293e-05, 2: 7.367821286129834e-05, 3: 0.36938326423954304, 4: 0.6257441499498978, 5: 0.0007220464860404618, 6: 0.0014047979252215792}"
113,g4OJooMbgRE,"{2: 0.0013487584650112559, 3: 0.4330445823927757, 4: 2.5395033860041666e-05, 5: 0.0007195259593677289, 6: 0.5432562076749451, 7: 0.015073363431151121, 8: 0.0012725733634311176, 9: 0.0004966139954852844, 10: 0.0001890519187358608, 1: 0.0}"
114,B-DiuM5KsPM,"{2: 0.0008726409606032784, 4: 7.756808538705862e-06, 5: 1.9392021346709143e-05, 6: 0.2670707963915331, 8: 0.2823245603828777, 9: 0.2152553153530519, 7: 0.2287948246573433, 3: 0.0, 1: 0.0}"
115,wf0_nMaQ6tA,"{2: 0.6859236219534169, 3: 0.01826497969709123, 4: 0.0023251337486595355, 5: 0.2817383812058314, 6: 0.007687301592151141, 1: 3.055366292525896e-06}"
116,W8ASnyzZ534,"{0: 0.23787504063907794, 1: 0.0008447122753240807, 2: 0.0019419673958479757, 3: 0.005982652919046602, 4: 0.6978948957317356, 5: 0.02686533370489118, 6: 0.022946565417305193}"
117,Q9Q53KWZFMU,"{0: 0.000497284361183848, 1: 3.8850340717510624e-05, 2: 4.6620408860964004e-05, 3: 6.993061329159042e-05, 4: 0.16432140109868776, 5: 4.6620408860970075e-05, 6: 0.8320033566694383}"
118,iS3te7kM6DY,"{0: 0.0009871776590727602, 1: 0.15311125492217814, 2: 0.002108721166185935, 3: 0.003485285568559533, 4: 0.7651038181838105, 5: 0.01967225701718791, 6: 0.024325702815650253, 7: 0.026574274150204566}"
119,fy29eXpK0TM,"{0: 0.42649396957178387, 1: 0.0038151688719470665, 2: 0.002537902222577133, 3: 0.22529786257408882, 4: 0.30811729565396745, 5: 0.023952075890927044}"
120,Xb-g4cACOEc,"{0: 0.00029694701351727556, 1: 0.5278604349036476, 2: 0.002876674193448625, 3: 0.001416684710322066, 4: 0.44314392650561496, 5: 0.014760741130254856, 6: 0.004188190169816308}"
121,e4Xx24EqAFU,"{0: 0.00026575275330206424, 1: 0.43317008521344985, 2: 0.002139827364250343, 3: 0.5289377137670275, 4: 0.013853656516292168, 5: 0.012069316601263952}"
122,Q0V6KIZiXco,"{0: 0.34444085424623816, 1: 3.0378600209269126e-05, 2: 0.004584406940681652, 3: 0.6389282429846129, 4: 0.00487162279720646}"
123,OlFJm2wK7eo,"{0: 0.0003788340899313604, 1: 0.4967670684020257, 2: 0.0008443505563727853, 3: 0.46725011397127225, 4: 0.017904726436840143, 5: 0.012292845172433994}"
